locus,oligo_len,rep,LB,Carb300
metX,none,1,54000000,18
metX,none,2,78000000,16
metX,74,1,240000000,180
metX,74,2,210000000,130
metX,90,1,200000000,320
metX,90,2,330000000,220
metX,104,1,220000000,200
metX,104,2,320000000,230
metX,120,1,370000000,460
metX,120,2,390000000,460
metX,150,1,156000000,1080
metX,150,2,173000000,1200
hisA,none,1,67000000,12
hisA,none,2,71000000,9
hisA,74,1,90000000,30
hisA,74,2,95000000,30
hisA,90,1,56000000,37
hisA,90,2,57000000,28
hisA,104,1,49000000,30
hisA,104,2,50000000,33
hisA,120,1,53000000,56
hisA,120,2,53000000,58
hisA,150,1,147000000,810
hisA,150,2,145000000,940