well,strain,ara,notes
A1,PA14,0,
A2,PA14,0,
A3,PA14,0,
A4,PA14,0.005,
A5,PA14,0.005,
A6,PA14,0.005,
A7,PA14,0.01,
A8,PA14,0.01,
A9,PA14,0.01,
A10,PA14,0.5,
A11,PA14,0.5,
A12,PA14,0.5,
B1,CFP_LVA,0,not sure if this is right
B2,CFP_LVA,0,
B3,CFP_LVA,0,
B4,CFP_LVA,0.005,
B5,CFP_LVA,0.005,
B6,CFP_LVA,0.005,
B7,CFP_LVA,0.01,
B8,CFP_LVA,0.01,
B9,CFP_LVA,0.01,
B10,CFP_LVA,0.5,
B11,CFP_LVA,0.5,
B12,CFP_LVA,0.5,
C1,CFP_LAA,0,
C2,CFP_LAA,0,
C3,CFP_LAA,0,
C4,CFP_LAA,0.005,
C5,CFP_LAA,0.005,
C6,CFP_LAA,0.005,
C7,CFP_LAA,0.01,
C8,CFP_LAA,0.01,
C9,CFP_LAA,0.01,
C10,CFP_LAA,0.5,
C11,CFP_LAA,0.5,
C12,CFP_LAA,0.5,
D1,CFP_AAV,0,
D2,CFP_AAV,0,
D3,CFP_AAV,0,
D4,CFP_AAV,0.005,
D5,CFP_AAV,0.005,
D6,CFP_AAV,0.005,
D7,CFP_AAV,0.01,
D8,CFP_AAV,0.01,
D9,CFP_AAV,0.01,
D10,CFP_AAV,0.5,
D11,CFP_AAV,0.5,
D12,CFP_AAV,0.5,
E1,CFP_ASV,0,
E2,CFP_ASV,0,
E3,CFP_ASV,0,
E4,CFP_ASV,0.005,
E5,CFP_ASV,0.005,
E6,CFP_ASV,0.005,
E7,CFP_ASV,0.01,
E8,CFP_ASV,0.01,
E9,CFP_ASV,0.01,
E10,CFP_ASV,0.5,
E11,CFP_ASV,0.5,
E12,CFP_ASV,0.5,
F1,CFP_stop,0,
F2,CFP_stop,0,
F3,CFP_stop,0,
F4,CFP_stop,0.005,
F5,CFP_stop,0.005,
F6,CFP_stop,0.005,
F7,CFP_stop,0.01,
F8,CFP_stop,0.01,
F9,CFP_stop,0.01,
F10,CFP_stop,0.5,
F11,CFP_stop,0.5,
F12,CFP_stop,0.5,